site_id,ncollege,college,total_pop,college_percentage,volume,sent,left,total,sign_percentage,has_spouse,spouse_percentage
屏東縣霧臺鄉,2402,507,2909,0.17428669645926434,0,0,122,122,0.04193881058783087,1368,0.47026469577174285
屏東縣新埤鄉,7630,1597,9227,0.17307900726129835,2,100,50,150,0.01625663812723529,4499,0.4875907662295437
屏東縣新園鄉,24949,7048,31997,0.22027065037347252,0,0,1418,1418,0.04431665468637685,15885,0.49645279244929214
屏東縣鹽埔鄉,18387,4949,23336,0.21207576276996914,2,100,628,728,0.031196434693177923,11513,0.49335790195406237
屏東縣長治鄉,19403,7878,27281,0.28877240570360324,9,450,81,531,0.01946409589091309,13540,0.4963161174443752
屏東縣竹田鄉,11733,4050,15783,0.2566052081353355,0,0,696,696,0.04409808021288728,7857,0.49781410378255087
臺北市北投區,115325,105669,220994,0.478153253029494,159,7950,1440,9390,0.04248984135315891,117328,0.5309103414572341
臺北市大安區,99280,163711,262991,0.6224965873356882,213,10650,3023,13673,0.051990372294108925,146335,0.556425885296455
臺北市大同區,62380,49487,111867,0.44237353285598074,77,3850,811,4661,0.041665549268327565,57360,0.5127517498457991
臺北市南港區,56248,49449,105697,0.46783730853288175,76,3800,1052,4852,0.04590480335298069,56310,0.5327492738677541
臺北市內湖區,113598,132032,245630,0.5375239180881815,192,9600,2632,12232,0.04979847738468428,133691,0.5442779790742173
臺北市士林區,129443,121384,250827,0.4839351425484497,173,8650,1789,10439,0.04161832657568763,133399,0.5318366842485059
臺北市松山區,70721,105418,176139,0.5984932354560887,138,6900,2235,9135,0.05186244954269072,97051,0.5509909787156734
臺北市萬華區,102625,67460,170085,0.39662521680336305,113,5650,1134,6784,0.03988593938324955,82696,0.48620395684510687
臺北市文山區,110011,125859,235870,0.5335947767838216,158,7900,4632,12532,0.05313096197057701,126747,0.5373595624708526
臺北市信義區,91920,105849,197769,0.5352153269723768,141,7050,3474,10524,0.05321359768214432,105349,0.5326871248780143
臺北市中山區,94103,107659,201762,0.5335940365380993,157,7850,1597,9447,0.04682249382936331,103489,0.5129261208750905
臺北市中正區,56882,76872,133754,0.5747267371443097,95,4750,2240,6990,0.05226011932353425,73805,0.55179658178447
臺東縣卑南鄉,12899,2697,15596,0.17292895614260068,2,100,229,329,0.0210951526032316,6585,0.4222236470889972
臺東縣成功鎮,11002,1862,12864,0.14474502487562188,2,100,142,242,0.01881218905472637,5797,0.4506374378109453
臺東縣池上鄉,6165,1282,7447,0.17214985900362562,1,50,78,128,0.017188129448099904,3341,0.4486370350476702
臺東縣達仁鄉,2687,452,3139,0.14399490283529787,0,0,66,66,0.021025804396304557,1340,0.42688754380375915
臺東縣大武鄉,4626,828,5454,0.15181518151815182,0,0,118,118,0.021635496883021636,2323,0.42592592592592593
臺東縣東河鄉,6782,1052,7834,0.13428644370691856,1,50,77,127,0.016211386264998722,3349,0.4274955322951238
臺東縣關山鎮,6197,1576,7773,0.20275311977357519,1,50,151,201,0.025858741798533386,3463,0.44551653158368715
臺東縣海端鄉,2940,537,3477,0.1544434857635893,0,0,65,65,0.018694276675294795,1458,0.41932700603968937
臺東縣金峰鄉,2584,499,3083,0.16185533571196886,0,0,134,134,0.04346415828738242,1307,0.42393772299708077
臺東縣蘭嶼鄉,3493,830,4323,0.1919962988665279,1,50,57,107,0.024751330094841546,1981,0.4582465880175804
臺東縣鹿野鄉,6038,1184,7222,0.16394350595402934,1,50,114,164,0.022708391027416227,3325,0.46039878150096925
臺東縣綠島鄉,2481,1046,3527,0.2965693223702864,0,0,121,121,0.034306776297136375,1774,0.5029770343067763
臺東縣臺東市,65038,26753,91791,0.29145558932792975,14,700,1746,2446,0.02664749267357366,41403,0.4510572931986796
臺東縣太麻里鄉,8503,1454,9957,0.14602792005624185,1,50,100,150,0.015064778547755347,4431,0.445013558300693
臺東縣延平鄉,2457,512,2969,0.1724486359043449,0,0,38,38,0.012798922196025598,1262,0.4250589424048501
臺東縣長濱鄉,5963,723,6686,0.10813640442716123,1,50,63,113,0.016900987137301825,2880,0.43075082261441816
臺南市安定區,19541,7524,27065,0.27799741363384445,7,350,216,566,0.0209126177720303,14140,0.5224459634213929
臺南市安南區,112464,52352,164816,0.31763906416852733,67,3350,1089,4439,0.02693306475099505,83038,0.5038224444228716
臺南市安平區,34034,23266,57300,0.4060383944153578,24,1200,1203,2403,0.04193717277486911,27439,0.47886561954624784
臺南市白河區,20248,5727,25975,0.22048123195380173,8,400,121,521,0.020057747834456206,13001,0.5005197305101059
